timeframe,sharpe,n_bars,atr_period,atr_multiplier,vsa_window,vsa_volume_factor,trailing_stop_atr_mult,position_size_pct
5min,26.616697456438672,2638,11,2.0827689237781546,16,1.7226916890042874,1.5155226584536448,0.232556542968046
1day,10.650602130753159,503,11,2.1953442280127677,24,1.552121994991681,1.6830573522671681,0.24903538202225403
15min,9.550103670569383,912,10,3.591735523787146,10,1.2052655822994272,2.5897406674282006,0.22789670929751632
30min,-4.981090304706841,458,17,2.0050023815363818,28,1.4096592767219993,2.3402845700834174,0.23180021421406471
