timeframe,sharpe,n_bars,atr_period,atr_multiplier,vsa_window,vsa_volume_factor,trailing_stop_atr_mult,position_size_pct,donchian_period,pyramid_atr_threshold,pyramid_size_pct
5min,28.11595894596152,2638,27,3.5415586781602713,46,1.7937925437562607,1.8896286345254527,0.4333177332983255,33,1.4541235289945342,0.5025373942948596
1day,27.936822066434868,503,13,1.7395951902212436,10,1.1595345861535848,1.737969700485607,0.1869445332537918,48,0.6229045140766449,0.7805956093272741
30min,8.166438223316568,458,7,1.3159286650722277,33,2.100545794795499,0.5015835740553978,0.3727752762572782,39,2.3684023058952866,0.43449766296931347
15min,-5.843174105643402,912,12,1.4347351455074187,40,2.885970952599968,0.5078196628715248,0.1876417350588805,22,2.759601957388132,0.6500596821278163
