timeframe,sharpe,n_bars,bb_period,bb_std,max_pyramid_levels,pyramid_threshold,position_size_pct,profit_target_pct
5min,28.6007058214004,2638,13,1.6544397866744034,2,0.010580685424201878,0.2753202464949462,0.1601484533800246
1day,27.738703034348216,503,10,2.337789121758238,2,0.038157060831514926,0.17826263807585163,0.14151301468520583
30min,8.780533449498746,458,11,1.6127830657557207,1,0.02998095243294141,0.2105329616780469,0.0804674227406866
15min,8.131298654239055,912,25,1.6040195544238856,1,0.04546100773025313,0.25752233534467567,0.19985738907745865
