timeframe,sharpe,n_bars,bb_period,bb_std,max_pyramid_levels,pyramid_threshold,position_size_pct,profit_target_pct
5min,0.0,2638,17,2.9260714596148745,4,0.03394633936788147,0.13120372808848732,0.0733991780504304
15min,0.0,912,17,2.9260714596148745,4,0.03394633936788147,0.13120372808848732,0.0733991780504304
30min,0.0,458,17,2.9260714596148745,4,0.03394633936788147,0.13120372808848732,0.0733991780504304
1day,0.0,503,17,2.9260714596148745,4,0.03394633936788147,0.13120372808848732,0.0733991780504304
